year,subunit,sbt,Source_Season
2018,1,7.818961049376936,GLORYS-Winter
2018,2,8.253075285687473,GLORYS-Winter
2019,1,7.267160870755299,GLORYS-Winter
2019,2,8.098588200214778,GLORYS-Winter
1989,1,7.910140425652884,GLORYS-Annual
1989,2,11.185885492588389,GLORYS-Annual
1990,1,8.258490099868387,GLORYS-Annual
1990,2,11.977899002164461,GLORYS-Annual
1991,1,8.757716918149836,GLORYS-Annual
1991,2,11.936983518910237,GLORYS-Annual
1992,1,7.70768828402008,GLORYS-Annual
1992,2,11.59012023163702,GLORYS-Annual
1993,1,7.63736104672094,GLORYS-Annual
1993,2,10.890289016027337,GLORYS-Annual
1994,1,8.42844570389512,GLORYS-Annual
1994,2,11.723860340935905,GLORYS-Annual
1995,1,8.578909600543437,GLORYS-Annual
1995,2,12.364960810118719,GLORYS-Annual
1996,1,7.580975284400434,GLORYS-Annual
1996,2,10.290507593278738,GLORYS-Annual
1997,1,8.248886224930546,GLORYS-Annual
1997,2,12.081077062041334,GLORYS-Annual
1998,1,7.5150806911460695,GLORYS-Annual
1998,2,11.41739313052005,GLORYS-Annual
1999,1,8.738402896338105,GLORYS-Annual
1999,2,13.127397838023208,GLORYS-Annual
2000,1,8.649243248446908,GLORYS-Annual
2000,2,12.263117864646526,GLORYS-Annual
2001,1,8.345746645086962,GLORYS-Annual
2001,2,11.822204092649871,GLORYS-Annual
2002,1,8.86936265806675,GLORYS-Annual
2002,2,13.375154554843903,GLORYS-Annual
2003,1,7.713512674032932,GLORYS-Annual
2003,2,10.949306094092814,GLORYS-Annual
2004,1,7.011237073960948,GLORYS-Annual
2004,2,10.26171834579573,GLORYS-Annual
2005,1,7.538615020240009,GLORYS-Annual
2005,2,10.900745640361283,GLORYS-Annual
2006,1,8.68838028575551,GLORYS-Annual
2006,2,12.823817474106018,GLORYS-Annual
2007,1,7.66744023719783,GLORYS-Annual
2007,2,11.575110641333557,GLORYS-Annual
2008,1,7.920834329479882,GLORYS-Annual
2008,2,12.827545861891647,GLORYS-Annual
2009,1,8.313355386687231,GLORYS-Annual
2009,2,12.190809584624823,GLORYS-Annual
2010,1,8.685894485868237,GLORYS-Annual
2010,2,11.204690565991292,GLORYS-Annual
2011,1,8.674302332772532,GLORYS-Annual
2011,2,12.586932985590446,GLORYS-Annual
2012,1,9.845247553137384,GLORYS-Annual
2012,2,13.810841114306005,GLORYS-Annual
2013,1,9.267888990093644,GLORYS-Annual
2013,2,12.482932092876322,GLORYS-Annual
2014,1,9.082274979919845,GLORYS-Annual
2014,2,13.019329307427773,GLORYS-Annual
2015,1,9.333420518226545,GLORYS-Annual
2015,2,13.38907845880152,GLORYS-Annual
2016,1,9.645837447486748,GLORYS-Annual
2016,2,13.615238432350091,GLORYS-Annual
2017,1,9.112442977780038,GLORYS-Annual
2017,2,12.54208411838192,GLORYS-Annual
2018,1,8.98982680238684,GLORYS-Annual
2018,2,11.561715919789048,GLORYS-Annual
2019,1,8.983156614068955,GLORYS-Annual
2019,2,12.634253424047818,GLORYS-Annual
